team,G,W,L,T,PTS,PPG,PA,PAPG,OEFF,DEFF,PM,PMPG,BLK,BPG,CMP,CPG,CMPR,TO,TPG
DCBreeze13,16,4,12,0,293,18.31,378,23.63,-0.09,-0.64,288,18.0,208,13.0,3453,215.81,91.8,435,27.19
NewJerseyHammerheads13,16,2,14,0,276,17.25,366,22.88,-0.11,-0.35,223,13.94,244,15.25,3868,241.75,90.0,568,35.5
PhiladelphiaSpinners12,17,15,2,0,459,27.0,324,19.06,0.64,-0.36,594,34.94,248,14.59,2696,158.59,88.6,444,26.12
IndianapolisAlleyCats12,17,9,8,0,351,20.65,341,20.06,0.46,-0.3,394,23.18,174,10.24,2258,132.82,88.0,367,21.59
CincinnatiRevolution12,17,9,8,0,311,18.29,299,17.59,0.44,-0.37,261,15.35,167,9.82,2606,153.29,88.3,446,26.24
ConnecticutConstitution12,16,8,8,0,265,16.56,280,17.5,0.5,-0.35,326,20.38,163,10.19,2256,141.0,88.2,365,22.81
ColumbusCranes12,16,7,9,0,317,19.81,330,20.63,0.47,-0.35,468,29.25,141,8.81,1685,105.31,88.8,262,16.38
DetroitMechanix12,16,7,9,0,337,21.06,351,21.94,0.41,-0.32,363,22.69,177,11.06,2758,172.38,88.6,455,28.44
RhodeIslandRampage12,15,6,9,0,307,20.47,353,23.53,0.57,-0.37,224,14.93,134,8.93,2678,178.53,89.0,410,27.33
RochesterDragons12,16,4,12,0,282,17.63,351,21.94,0.42,-0.36,271,16.94,188,11.75,2504,156.5,88.5,395,24.69
